手動入力	API 自動取得			URL自動計算	手動入力				
YouTubeリンク	動画タイトル	投稿日	サムネイルURL	再生位置	タイプ	曲名	原曲歌唱	作詞・作曲他	タグ（カンマ区切り）
https://www.youtube.com/watch?v=1tRP2dv9HgU	香水一番	2020-08-09T12:26:04Z	https://i.ytimg.com/vi/1tRP2dv9HgU/default.jpg		メンバー限定	香水	瑛人	作詞・作曲：瑛人	
https://www.youtube.com/watch?v=gcGS1W8hG5E	あわせただけおとふぁじ	2020-05-26T12:14:51Z	https://i.ytimg.com/vi/gcGS1W8hG5E/default.jpg		メンバー限定	オートファジー	柊キライ feat.flower		
https://www.youtube.com/watch?v=dbWoRo2Kj9I	金木犀	2020-05-17T07:37:45Z	https://i.ytimg.com/vi/dbWoRo2Kj9I/default.jpg		メンバー限定	金木犀	くじら	歌唱：flower	
https://www.youtube.com/watch?v=R3VCmPAidTo	ねむるまち歌ってみた未完	2020-03-17T06:10:11Z	https://i.ytimg.com/vi/R3VCmPAidTo/default.jpg		メンバー限定	ねむるまち	Flower<br>yama	Music：くじら	
https://www.youtube.com/watch?v=hvRnfkJbcuE	からくりだらけのテンダネス　　　　　　　　フル	2020-07-04T15:24:54Z	https://i.ytimg.com/vi/hvRnfkJbcuE/default.jpg		メンバー限定	カラクリだらけのテンダネス	Sexy Zone	作詞：EMI K.Lynn、作曲：原一博、編曲：船山基紀	コラボ,緑仙
https://www.youtube.com/watch?v=zqVX7wxi0uM	幽霊東京	2020-08-20T04:04:51Z	https://i.ytimg.com/vi/zqVX7wxi0uM/default.jpg		メンバー限定	幽霊東京	Ayase	歌唱：初音ミク	
https://www.youtube.com/watch?v=9Dd50gKKwhA	春を告げる /メリッサCover	2020-12-23T05:41:28Z	https://i.ytimg.com/vi/9Dd50gKKwhA/default.jpg		メンバー限定	春を告げる	yama	作詞・作曲：くじら	
https://www.youtube.com/watch?v=BZv18yiPaNA	【合唱コラボ】Hail Holy Queen【にじさんじ/レヴィ・エリファ】	2020-05-15T10:00:12Z	https://i.ytimg.com/vi/BZv18yiPaNA/default.jpg		他チャンネル	Hail Holy Queen (Salve regina)			コラボ,レヴィ・エリファ,轟京子,シスター・クレア,でびでび・でびる,早瀬走,健屋花那,長尾景,弦月藤士郎
https://www.youtube.com/watch?v=aH0SdgEfoIc	エバ/ メリッサ・キンレンカ Cover	2020-03-01T11:00:12Z	https://i.ytimg.com/vi/aH0SdgEfoIc/default.jpg		動画	エバ	柊キライ feat.flower		カバー
https://www.youtube.com/watch?v=Qb46Hy8ygeY	夜に駆ける/ メリッサ・キンレンカ Cover	2020-03-20T11:00:15Z	https://i.ytimg.com/vi/Qb46Hy8ygeY/default.jpg		動画	夜に駆ける	YOASOBI	Music：Ayase、Vocal：ikura	カバー
https://www.youtube.com/watch?v=y5oMGon8O5A	ボッカデラベリタ/ メリッサ・キンレンカ Cover	2020-05-18T10:00:13Z	https://i.ytimg.com/vi/y5oMGon8O5A/default.jpg		動画	ボッカデラベリタ	柊キライ feat.flower		カバー
https://www.youtube.com/watch?v=8eQxRL5Lqgw	シニカルナイトプラン/ メリッサ・キンレンカ Cover	2020-06-17T11:00:10Z	https://i.ytimg.com/vi/8eQxRL5Lqgw/default.jpg		動画	シニカルナイトプラン	Ayase (YOASOBI)	歌唱：初音ミク	カバー
https://www.youtube.com/watch?v=F0CnOI5d1DI	ヒステリックナイトガール / メリッサ・キンレンカ Cover	2020-07-17T10:00:12Z	https://i.ytimg.com/vi/F0CnOI5d1DI/default.jpg		動画	ヒステリックナイトガール 	PSYQUI feat.Such		カバー
https://www.youtube.com/watch?v=ZArPzQu_cXE	エンドロール / メリッサ・キンレンカ Cover	2020-08-07T11:00:10Z	https://i.ytimg.com/vi/ZArPzQu_cXE/default.jpg		動画	エンドロール 	夏代孝明 (Self Cover)<br>VY1,初音ミク	Music&Lyrics：夏代孝明、Arrangement&Guitar：渡辺拓也、Bass：okamu、Fender Rhodes & Organ：クレハリュウイチ、Drums：菅間匠、Engineer：白井康裕、小島康太郎、諏訪桂輔、友達募集P(VY1,初音ミク版)、快晴P(VY1,初音ミク版)、Vocaloid Editor(VY1,初音ミク版)：cillia、夏代孝明	カバー
https://www.youtube.com/watch?v=StA3_Nc5dzM	就寝御礼/ メリッサ・キンレンカ Cover	2020-09-20T11:00:10Z	https://i.ytimg.com/vi/StA3_Nc5dzM/default.jpg		動画	就寝御礼	PSYQUI		カバー
https://www.youtube.com/watch?v=X5VEzYA1C-8	KING / メリッサ・キンレンカ Cover	2020-10-26T12:00:11Z	https://i.ytimg.com/vi/X5VEzYA1C-8/default.jpg		動画	KING 	Kanaria	歌唱：GUMI	カバー
https://www.youtube.com/watch?v=3JU6I12H5WU	レッド・パージ！！！/ メリッサ・キンレンカ Cover	2020-11-30T11:00:11Z	https://i.ytimg.com/vi/3JU6I12H5WU/default.jpg		動画	レッド・パージ！！！	P.I.N.A.	歌唱：鏡音リン・レン	カバー
https://www.youtube.com/watch?v=h2YDbhEURZA	メビウス/ メリッサ・キンレンカ Cover	2020-12-30T11:00:11Z	https://i.ytimg.com/vi/h2YDbhEURZA/default.jpg		動画	メビウス	めいちゃん<br>flower(別バージョン)	Music：柊キライ、MIX：白井 康裕	カバー
https://www.youtube.com/watch?v=8CUTuw-xJgc	celluloid/ メリッサ・キンレンカ Cover	2021-01-24T11:00:12Z	https://i.ytimg.com/vi/8CUTuw-xJgc/default.jpg		動画	celluloid	baker	歌唱：初音ミク	カバー
https://www.youtube.com/watch?v=hhXeNNxovSE	【オリジナルMV】haze / メリッサ・キンレンカ	2020-04-01T11:00:12Z	https://i.ytimg.com/vi/hhXeNNxovSE/default.jpg		動画	haze	メリッサ・キンレンカ	作詞・作曲・mix：メリッサ・キンレンカ、編曲：友人ABCDEFG	オリジナル
https://www.youtube.com/watch?v=dlVWaAQZPag	【オリジナルMV】胎生/ メリッサ・キンレンカ	2020-05-02T11:00:13Z	https://i.ytimg.com/vi/dlVWaAQZPag/default.jpg		動画	胎生	メリッサ・キンレンカ	さっきょくさくしみっくす：メリッサ・キンレンカ、編曲：友人１２３４５６７８９０	オリジナル
https://www.youtube.com/watch?v=GQT3lN7ZfpY&t=1104	【雑談】おしゃべりとか【メリッサ・キンレンカ/にじさんじ】	2020-02-10T02:37:12Z	https://i.ytimg.com/vi/GQT3lN7ZfpY/default.jpg		配信	コイワズライ	Aimer	作詞：aimerrhythm、作曲：飛内将太	アカペラ
https://www.youtube.com/watch?v=GQT3lN7ZfpY&t=1221	【雑談】おしゃべりとか【メリッサ・キンレンカ/にじさんじ】	2020-02-10T02:37:12Z	https://i.ytimg.com/vi/GQT3lN7ZfpY/default.jpg		配信	Pretender	Official髭男dism	作詞・作曲：藤原聡	アカペラ
https://www.youtube.com/watch?v=GQT3lN7ZfpY&t=4360	【雑談】おしゃべりとか【メリッサ・キンレンカ/にじさんじ】	2020-02-10T02:37:12Z	https://i.ytimg.com/vi/GQT3lN7ZfpY/default.jpg		配信	白日	King Gnu	作詞・作曲：常田大希	アカペラ
https://www.youtube.com/watch?v=GQT3lN7ZfpY&t=4606	【雑談】おしゃべりとか【メリッサ・キンレンカ/にじさんじ】	2020-02-10T02:37:12Z	https://i.ytimg.com/vi/GQT3lN7ZfpY/default.jpg		配信	Vinyl	King Gnu	作詞・作曲：常田大希	アカペラ
https://www.youtube.com/watch?v=KVDWULxFgS8&t=3700	【祝・収益化記念】宴だあああああああ！！【メリッサ・キンレンカ/にじさんじ】	2020-02-11T14:11:46Z	https://i.ytimg.com/vi/KVDWULxFgS8/default.jpg		配信	宿命	Official髭男dism	作詞・作曲：藤原聡、編曲：蔦谷好位置	アカペラ,ワンフレーズ
https://www.youtube.com/watch?v=Nq1LOpAb1Vo&t=960	【雑談】あさごはんたべた？？【メリッサ・キンレンカ/にじさんじ】	2020-03-06T03:18:29Z	https://i.ytimg.com/vi/Nq1LOpAb1Vo/default.jpg		配信	月のワルツ	諫山実生	作詞：湯川れい子、作曲：諫山実生、編曲：安部潤	アカペラ
https://www.youtube.com/watch?v=Nq1LOpAb1Vo&t=1310	【雑談】あさごはんたべた？？【メリッサ・キンレンカ/にじさんじ】	2020-03-06T03:18:29Z	https://i.ytimg.com/vi/Nq1LOpAb1Vo/default.jpg		配信	もらい泣き	一青窈	作曲：溝渕大智・マシコタツロウ・武部聡志、編曲：武部聡志	アカペラ
https://www.youtube.com/watch?v=Nq1LOpAb1Vo&t=1724	【雑談】あさごはんたべた？？【メリッサ・キンレンカ/にじさんじ】	2020-03-06T03:18:29Z	https://i.ytimg.com/vi/Nq1LOpAb1Vo/default.jpg		配信	涙そうそう	BEGIN	作詞：森山良子、作曲：BEGIN	アカペラ
https://www.youtube.com/watch?v=Nq1LOpAb1Vo&t=1968	【雑談】あさごはんたべた？？【メリッサ・キンレンカ/にじさんじ】	2020-03-06T03:18:29Z	https://i.ytimg.com/vi/Nq1LOpAb1Vo/default.jpg		配信	なごり雪	かぐや姫	作詞・作曲：伊勢正三	アカペラ
https://www.youtube.com/watch?v=Nq1LOpAb1Vo&t=2273	【雑談】あさごはんたべた？？【メリッサ・キンレンカ/にじさんじ】	2020-03-06T03:18:29Z	https://i.ytimg.com/vi/Nq1LOpAb1Vo/default.jpg		配信	ラヴ・イズ・オーヴァー	欧陽菲菲	作詞・作曲：伊藤薫	アカペラ
https://www.youtube.com/watch?v=Nq1LOpAb1Vo&t=2690	【雑談】あさごはんたべた？？【メリッサ・キンレンカ/にじさんじ】	2020-03-06T03:18:29Z	https://i.ytimg.com/vi/Nq1LOpAb1Vo/default.jpg		配信	さよならの向う側	山口百恵	作詞：阿木燿子、作曲：宇崎竜童	アカペラ
https://www.youtube.com/watch?v=Nq1LOpAb1Vo&t=3402	【雑談】あさごはんたべた？？【メリッサ・キンレンカ/にじさんじ】	2020-03-06T03:18:29Z	https://i.ytimg.com/vi/Nq1LOpAb1Vo/default.jpg		配信	First Love	宇多田ヒカル	作詞・作曲：宇多田ヒカル、編曲：河野圭	アカペラ
https://www.youtube.com/watch?v=Nq1LOpAb1Vo&t=5070	【雑談】あさごはんたべた？？【メリッサ・キンレンカ/にじさんじ】	2020-03-06T03:18:29Z	https://i.ytimg.com/vi/Nq1LOpAb1Vo/default.jpg		配信	名前のない怪物	EGOIST	作詞・作曲：ryo(supercell)	アカペラ
https://www.youtube.com/watch?v=Nq1LOpAb1Vo&t=5573	【雑談】あさごはんたべた？？【メリッサ・キンレンカ/にじさんじ】	2020-03-06T03:18:29Z	https://i.ytimg.com/vi/Nq1LOpAb1Vo/default.jpg		配信	All Alone With You	EGOIST	作詞・作曲：ryo(supercell)	アカペラ
https://www.youtube.com/watch?v=Nq1LOpAb1Vo&t=5955	【雑談】あさごはんたべた？？【メリッサ・キンレンカ/にじさんじ】	2020-03-06T03:18:29Z	https://i.ytimg.com/vi/Nq1LOpAb1Vo/default.jpg		配信	恋愛サーキュレーション	千石撫子(花澤香菜)	作詞：meg rock、作曲：神前暁	アカペラ
https://www.youtube.com/watch?v=WvLrH0lyJ_E&t=884	【記念】五万人ありがとう！！【メリッサ・キンレンカ/にじさんじ】	2020-03-09T13:29:41Z	https://i.ytimg.com/vi/WvLrH0lyJ_E/default.jpg		配信	風になる	つじあやの	作詞・作曲：つじあやの	
https://www.youtube.com/watch?v=WvLrH0lyJ_E&t=1409	【記念】五万人ありがとう！！【メリッサ・キンレンカ/にじさんじ】	2020-03-09T13:29:41Z	https://i.ytimg.com/vi/WvLrH0lyJ_E/default.jpg		配信	secret base ～君がくれたもの～	ZONE	作詞・作曲：町田紀彦	
https://www.youtube.com/watch?v=WvLrH0lyJ_E&t=1766	【記念】五万人ありがとう！！【メリッサ・キンレンカ/にじさんじ】	2020-03-09T13:29:41Z	https://i.ytimg.com/vi/WvLrH0lyJ_E/default.jpg		配信	瞳をとじて	平井堅	作詞・作曲：平井堅	
https://www.youtube.com/watch?v=WvLrH0lyJ_E&t=2193	【記念】五万人ありがとう！！【メリッサ・キンレンカ/にじさんじ】	2020-03-09T13:29:41Z	https://i.ytimg.com/vi/WvLrH0lyJ_E/default.jpg		配信	若者のすべて	フジファブリック	作詞・作曲：志村正彦	
https://www.youtube.com/watch?v=WvLrH0lyJ_E&t=2450	【記念】五万人ありがとう！！【メリッサ・キンレンカ/にじさんじ】	2020-03-09T13:29:41Z	https://i.ytimg.com/vi/WvLrH0lyJ_E/default.jpg		配信	硝子の少年	KinKi Kids	作詞：松本隆、作曲：山下達郎	
https://www.youtube.com/watch?v=WvLrH0lyJ_E&t=2709	【記念】五万人ありがとう！！【メリッサ・キンレンカ/にじさんじ】	2020-03-09T13:29:41Z	https://i.ytimg.com/vi/WvLrH0lyJ_E/default.jpg		配信	月光	鬼束ちひろ	作詞・作曲：鬼束ちひろ	
https://www.youtube.com/watch?v=WvLrH0lyJ_E&t=3082	【記念】五万人ありがとう！！【メリッサ・キンレンカ/にじさんじ】	2020-03-09T13:29:41Z	https://i.ytimg.com/vi/WvLrH0lyJ_E/default.jpg		配信	カタオモイ	Aimer	作詞・作曲：内澤崇仁	
https://www.youtube.com/watch?v=WvLrH0lyJ_E&t=3432	【記念】五万人ありがとう！！【メリッサ・キンレンカ/にじさんじ】	2020-03-09T13:29:41Z	https://i.ytimg.com/vi/WvLrH0lyJ_E/default.jpg		配信	テルーの唄	手嶌葵	作詞：宮崎吾朗、作曲：谷山浩子	アカペラ
https://www.youtube.com/watch?v=YGgvEKl_fQ4&t=77	【#にじさんじ歌リレー】一緒に繋ぐ【メリッサ・キンレンカ/にじさんじ】	2020-04-11T07:35:01Z	https://i.ytimg.com/vi/YGgvEKl_fQ4/default.jpg		歌枠	Tell Me Baby	Official髭男dism	作詞・作曲：藤原聡	
https://www.youtube.com/watch?v=YGgvEKl_fQ4&t=394	【#にじさんじ歌リレー】一緒に繋ぐ【メリッサ・キンレンカ/にじさんじ】	2020-04-11T07:35:01Z	https://i.ytimg.com/vi/YGgvEKl_fQ4/default.jpg		歌枠	CHE.R.RY	YUI	作詞・作曲：YUI	
https://www.youtube.com/watch?v=YGgvEKl_fQ4&t=647	【#にじさんじ歌リレー】一緒に繋ぐ【メリッサ・キンレンカ/にじさんじ】	2020-04-11T07:35:01Z	https://i.ytimg.com/vi/YGgvEKl_fQ4/default.jpg		歌枠	君はロックを聴かない	あいみょん	作詞・作曲：あいみょん	
https://www.youtube.com/watch?v=YGgvEKl_fQ4&t=913	【#にじさんじ歌リレー】一緒に繋ぐ【メリッサ・キンレンカ/にじさんじ】	2020-04-11T07:35:01Z	https://i.ytimg.com/vi/YGgvEKl_fQ4/default.jpg		歌枠	風になる	つじあやの	作詞・作曲：つじあやの	
https://www.youtube.com/watch?v=YGgvEKl_fQ4&t=1368	【#にじさんじ歌リレー】一緒に繋ぐ【メリッサ・キンレンカ/にじさんじ】	2020-04-11T07:35:01Z	https://i.ytimg.com/vi/YGgvEKl_fQ4/default.jpg		歌枠	長く短い祭	椎名林檎	作詞・作曲：椎名林檎	
https://www.youtube.com/watch?v=k5-dwB0C1Kc&t=7783	【雑談】おひるだ！！【メリッサ・キンレンカ/にじさんじ】	2020-04-15T05:03:59Z	https://i.ytimg.com/vi/k5-dwB0C1Kc/default.jpg		配信	haze	メリッサ・キンレンカ	作詞・作曲・mix：メリッサ・キンレンカ、編曲：友人ABCDEFG	オリジナル,アカペラ
https://www.youtube.com/watch?v=6DMVk5FF8H4&t=482	【記念】９万人ありがとう！雑談しつつアカペラる【メリッサ・キンレンカ/にじさんじ】	2020-04-29T12:06:37Z	https://i.ytimg.com/vi/6DMVk5FF8H4/default.jpg		歌枠	カタオモイ	Aimer	作詞・作曲：内澤崇仁	アカペラ
https://www.youtube.com/watch?v=6DMVk5FF8H4&t=646	【記念】９万人ありがとう！雑談しつつアカペラる【メリッサ・キンレンカ/にじさんじ】	2020-04-29T12:06:37Z	https://i.ytimg.com/vi/6DMVk5FF8H4/default.jpg		歌枠	Beautiful World	宇多田ヒカル	作詞・作曲：宇多田ヒカル	アカペラ
https://www.youtube.com/watch?v=6DMVk5FF8H4&t=730	【記念】９万人ありがとう！雑談しつつアカペラる【メリッサ・キンレンカ/にじさんじ】	2020-04-29T12:06:37Z	https://i.ytimg.com/vi/6DMVk5FF8H4/default.jpg		歌枠	雨とカプチーノ	ヨルシカ (Vocal: suis)	作詞・作曲・編曲：n-buna	アカペラ,短め
https://www.youtube.com/watch?v=6DMVk5FF8H4&t=837	【記念】９万人ありがとう！雑談しつつアカペラる【メリッサ・キンレンカ/にじさんじ】	2020-04-29T12:06:37Z	https://i.ytimg.com/vi/6DMVk5FF8H4/default.jpg		歌枠	脳裏上のクラッカー	ずっと真夜中でいいのに。	Lyrics & Music & Vocal：ACAね、Arrangement：100回嘔吐	アカペラ,短め
https://www.youtube.com/watch?v=6DMVk5FF8H4&t=1006	【記念】９万人ありがとう！雑談しつつアカペラる【メリッサ・キンレンカ/にじさんじ】	2020-04-29T12:06:37Z	https://i.ytimg.com/vi/6DMVk5FF8H4/default.jpg		歌枠	秒針を噛む	ずっと真夜中でいいのに。	Lyrics & Vocal：ACAね、Music：ACAね×ぬゆり、Arrangement：ぬゆり	アカペラ
https://www.youtube.com/watch?v=6DMVk5FF8H4&t=1266	【記念】９万人ありがとう！雑談しつつアカペラる【メリッサ・キンレンカ/にじさんじ】	2020-04-29T12:06:37Z	https://i.ytimg.com/vi/6DMVk5FF8H4/default.jpg		歌枠	again	YUI	作詞・作曲：YUI	アカペラ
https://www.youtube.com/watch?v=6DMVk5FF8H4&t=1450	【記念】９万人ありがとう！雑談しつつアカペラる【メリッサ・キンレンカ/にじさんじ】	2020-04-29T12:06:37Z	https://i.ytimg.com/vi/6DMVk5FF8H4/default.jpg		歌枠	少年少女	amazarashi	作詞・作曲：秋田ひろむ	アカペラ,短め
